title,description,genre
the matrix,"A computer hacker learns about the true nature of his reality and his role in the war against its controllers.",Science Fiction
toy story,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.",Animation
inception,"A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea.",Science Fiction
interstellar,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",Science Fiction
forrest gump,"The presidencies of Kennedy and Johnson, the Vietnam War, and more through the eyes of an Alabama man with a low IQ.",Drama
pulp fiction,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Crime
the godfather,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",Crime
the dark knight,"When the menace known as the Joker emerges, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Action
titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Romance
finding nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Animation
star wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire.",Science Fiction
back to the future,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean.",Science Fiction
gladiator,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",Action
la la land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations.",Musical
spirited away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits.",Animation
shawshank redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Drama
avengers endgame,"After the devastating events of Infinity War, the Avengers assemble once more to reverse Thanos' actions and restore balance.",Action
parasite,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",Thriller
coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather.",Animation
joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society, leading him into a downward spiral.",Drama
